mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015233993530273438,0.003230332868971452,0.0,0.0,None,50,"{'max_depth': 'None', 'n_estimators': 50}",,,,,,,,13,,,,,,,
0.011798667907714843,0.0002864280038783595,0.0,0.0,None,100,"{'max_depth': 'None', 'n_estimators': 100}",,,,,,,,13,,,,,,,
0.011706781387329102,0.00034685304671200546,0.0,0.0,None,150,"{'max_depth': 'None', 'n_estimators': 150}",,,,,,,,13,,,,,,,
0.011640644073486328,0.0002571881054317919,0.0,0.0,None,200,"{'max_depth': 'None', 'n_estimators': 200}",,,,,,,,13,,,,,,,
2.405932903289795,0.08606022804526012,0.005991506576538086,0.00015730845563224072,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9210884353741496,0.9156462585034013,0.9251700680272109,0.9034013605442177,0.9197278911564626,0.9170068027210885,0.007452007585104297,12,0.9540816326530612,0.9513605442176871,0.9486394557823129,0.9527210884353742,0.9486394557823129,0.9510884353741498,0.0021768707482993366
4.64279146194458,0.023599363055190413,0.00889883041381836,0.00021279552592639507,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.9224489795918367,0.9292517006802721,0.9251700680272109,0.9006802721088435,0.9238095238095239,0.9202721088435373,0.01005698972112999,9,0.9574829931972789,0.9530612244897959,0.9462585034013605,0.9537414965986395,0.9510204081632653,0.952312925170068,0.003678504989005665
7.130914688110352,0.2094965159977413,0.012313413619995116,0.0007410053028562405,5,150,"{'max_depth': 5, 'n_estimators': 150}",0.9170068027210885,0.9292517006802721,0.9251700680272109,0.9006802721088435,0.926530612244898,0.9197278911564626,0.010361596062399886,10,0.9571428571428572,0.95,0.9489795918367347,0.954421768707483,0.9510204081632653,0.952312925170068,0.0030300758437170256
9.57919454574585,0.29818035263922105,0.015323543548583984,0.0015370514002077337,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9197278911564626,0.9251700680272109,0.9224489795918367,0.9047619047619048,0.9210884353741496,0.9186394557823128,0.007168402651602441,11,0.95578231292517,0.9506802721088435,0.9472789115646258,0.9540816326530612,0.95,0.9515646258503402,0.0030239606491010633
4.067229986190796,0.12410099282036494,0.007459211349487305,0.0011625472338045537,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9469387755102041,0.9401360544217687,0.9346938775510204,0.9102040816326531,0.9319727891156463,0.9327891156462587,0.01239813414954505,8,0.9965986394557823,0.9962585034013606,0.9972789115646259,0.995578231292517,0.9945578231292517,0.9960544217687074,0.0009277674623800127
8.370959186553955,0.1904386288281338,0.013562345504760742,0.0021264661551715375,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9374149659863945,0.9401360544217687,0.9387755102040817,0.9129251700680272,0.9401360544217687,0.9338775510204081,0.010524669173231964,7,0.9948979591836735,0.9962585034013606,0.9972789115646259,0.9965986394557823,0.9948979591836735,0.9959863945578231,0.0009475094066111542
12.41923475265503,0.5754089826988731,0.015762138366699218,0.0029965821061054493,10,150,"{'max_depth': 10, 'n_estimators': 150}",0.9387755102040817,0.9374149659863945,0.9401360544217687,0.9142857142857143,0.9414965986394558,0.934421768707483,0.010159539974201087,6,0.995578231292517,0.9972789115646259,0.9965986394557823,0.9962585034013606,0.9952380952380953,0.9961904761904762,0.0007263318538796918
17.382860612869262,0.48440022709405683,0.018187427520751955,0.002577529541898663,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9442176870748299,0.9360544217687075,0.9414965986394558,0.9156462585034013,0.9401360544217687,0.9355102040816327,0.010275487122992779,4,0.9962585034013606,0.996938775510204,0.9965986394557823,0.9965986394557823,0.9959183673469387,0.9964625850340136,0.00034687207575461246
5.18940806388855,0.17404843189435149,0.00662684440612793,0.00011696116640011125,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.9346938775510204,0.9319727891156463,0.9428571428571428,0.9142857142857143,0.9537414965986395,0.9355102040816327,0.013038529034787433,4,1.0,1.0,1.0,0.9996598639455783,1.0,0.9999319727891157,0.0001360544217686943
10.051647567749024,0.28001540805360103,0.010783958435058593,0.0005082393942923695,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9442176870748299,0.9414965986394558,0.9442176870748299,0.9170068027210885,0.9442176870748299,0.9382312925170068,0.01066444513864782,2,1.0,1.0,0.9996598639455783,1.0,0.9996598639455783,0.9998639455782314,0.00016663195529135653
15.680490016937256,0.17975849602038205,0.01884117126464844,0.002840691881069261,15,150,"{'max_depth': 15, 'n_estimators': 150}",0.9442176870748299,0.9414965986394558,0.9455782312925171,0.9197278911564626,0.9455782312925171,0.9393197278911565,0.009908648411446607,1,1.0,1.0,1.0,1.0,0.9996598639455783,0.9999319727891157,0.0001360544217686943
22.363726377487183,0.958687675404688,0.023805713653564452,0.006891130129058953,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9374149659863945,0.9401360544217687,0.9442176870748299,0.9170068027210885,0.9442176870748299,0.9365986394557823,0.010130345833461897,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
